journal,top_topics,specialization_hint
Applied Mathematics & Optimization,"T1 (control, optimal, state, equation): 0.225; T8 (systems, linear, stability, equations): 0.116; T11 (model, time, stochastic, cost): 0.094; T3 (conditions, optimality, necessary, sufficient): 0.089; T5 (point, theorem, spaces, fixed): 0.078",focused
CPAIOR,"T4 (programming, linear, dual, quadratic): 0.237; T11 (model, time, stochastic, cost): 0.214; T7 (algorithm, search, proposed, algorithms): 0.180; T2 (design, optimization, structural, topology): 0.092; T13 (convex, set, sets, cone): 0.051",focused
Computational Optimization and Applications,"T7 (algorithm, search, proposed, algorithms): 0.171; T4 (programming, linear, dual, quadratic): 0.132; T10 (convergence, methods, algorithms, global): 0.098; T0 (method, proposed, numerical, newton): 0.085; T6 (functions, function, objective, penalty): 0.080",focused
Engineering Optimization,"T2 (design, optimization, structural, topology): 0.337; T7 (algorithm, search, proposed, algorithms): 0.154; T11 (model, time, stochastic, cost): 0.140; T0 (method, proposed, numerical, newton): 0.069; T4 (programming, linear, dual, quadratic): 0.065",focused
Evolutionary Multi-Criterion Optimization,"T7 (algorithm, search, proposed, algorithms): 0.254; T2 (design, optimization, structural, topology): 0.243; T11 (model, time, stochastic, cost): 0.131; T6 (functions, function, objective, penalty): 0.065; T10 (convergence, methods, algorithms, global): 0.048",focused
Fixed Point Theory and Applications,"T5 (point, theorem, spaces, fixed): 0.647; T14 (variational, vector, inequalities, inequality): 0.065; T13 (convex, set, sets, cone): 0.041; T8 (systems, linear, stability, equations): 0.038; T10 (convergence, methods, algorithms, global): 0.032",focused
Global Optimization,"T7 (algorithm, search, proposed, algorithms): 0.137; T6 (functions, function, objective, penalty): 0.122; T4 (programming, linear, dual, quadratic): 0.111; T13 (convex, set, sets, cone): 0.092; T14 (variational, vector, inequalities, inequality): 0.082",broad
Journal of Optimization Theory and Applications,"T1 (control, optimal, state, equation): 0.111; T3 (conditions, optimality, necessary, sufficient): 0.100; T6 (functions, function, objective, penalty): 0.087; T4 (programming, linear, dual, quadratic): 0.085; T8 (systems, linear, stability, equations): 0.080",broad
Mathematical Programming,"T4 (programming, linear, dual, quadratic): 0.200; T7 (algorithm, search, proposed, algorithms): 0.118; T13 (convex, set, sets, cone): 0.110; T6 (functions, function, objective, penalty): 0.091; T11 (model, time, stochastic, cost): 0.091",focused
Mathematics of Operations Research,"T11 (model, time, stochastic, cost): 0.194; T9 (game, games, equilibrium, players): 0.111; T4 (programming, linear, dual, quadratic): 0.100; T6 (functions, function, objective, penalty): 0.083; T13 (convex, set, sets, cone): 0.082",focused
Optimization,"T12 (isbn, dm, york, pp): 0.127; T6 (functions, function, objective, penalty): 0.098; T4 (programming, linear, dual, quadratic): 0.094; T3 (conditions, optimality, necessary, sufficient): 0.091; T13 (convex, set, sets, cone): 0.086",broad
Optimization Letters,"T11 (model, time, stochastic, cost): 0.126; T7 (algorithm, search, proposed, algorithms): 0.113; T4 (programming, linear, dual, quadratic): 0.108; T6 (functions, function, objective, penalty): 0.098; T14 (variational, vector, inequalities, inequality): 0.086",broad
Optimization Methods and Software,"T7 (algorithm, search, proposed, algorithms): 0.152; T4 (programming, linear, dual, quadratic): 0.142; T10 (convergence, methods, algorithms, global): 0.104; T0 (method, proposed, numerical, newton): 0.095; T6 (functions, function, objective, penalty): 0.086",focused
Optimization and Engineering,"T2 (design, optimization, structural, topology): 0.242; T11 (model, time, stochastic, cost): 0.155; T7 (algorithm, search, proposed, algorithms): 0.110; T4 (programming, linear, dual, quadratic): 0.092; T6 (functions, function, objective, penalty): 0.069",focused
SIAM Journal on Control and Optimization,"T1 (control, optimal, state, equation): 0.220; T8 (systems, linear, stability, equations): 0.203; T3 (conditions, optimality, necessary, sufficient): 0.092; T11 (model, time, stochastic, cost): 0.077; T5 (point, theorem, spaces, fixed): 0.059",focused
SIAM Journal on Optimization,"T4 (programming, linear, dual, quadratic): 0.150; T7 (algorithm, search, proposed, algorithms): 0.110; T6 (functions, function, objective, penalty): 0.109; T13 (convex, set, sets, cone): 0.108; T10 (convergence, methods, algorithms, global): 0.098",broad
Structural and Multidisciplinary Optimization,"T2 (design, optimization, structural, topology): 0.493; T0 (method, proposed, numerical, newton): 0.083; T11 (model, time, stochastic, cost): 0.064; T7 (algorithm, search, proposed, algorithms): 0.064; T6 (functions, function, objective, penalty): 0.056",focused
esaim-cocv,"T1 (control, optimal, state, equation): 0.194; T8 (systems, linear, stability, equations): 0.185; T5 (point, theorem, spaces, fixed): 0.104; T3 (conditions, optimality, necessary, sufficient): 0.087; T6 (functions, function, objective, penalty): 0.077",focused
